ID	Name	Type	Strength	Defence	Health
0	夏侯惇	0	288	261	275
1	典韋	1	295	251	288
2	司馬懿	3	261	283	275
3	張遼	0	285	261	278
4	曹操	1	278	275	276
5	周瑜	3	261	283	275
6	陸遜	3	262	280	277
7	孫尚香	2	256	270	263
8	甘寧	1	298	250	286
9	孫堅	0	277	275	277
10	趙雲	0	276	277	276
11	關羽	0	285	261	278
12	張飛	0	296	253	285
13	諸葛亮	3	263	281	275
14	劉備	0	276	277	276
15	貂蟬	3	258	271	260
16	呂布	0	301	300	303
17	許褚	1	296	251	287
18	夏侯淵	2	289	260	275
19	徐晃	0	285	261	278
20	張郃	0	276	275	278
21	曹仁	1	253	296	285
22	曹丕	1	275	276	278
23	太史慈	0	286	261	277
24	呂蒙	1	264	285	275
25	黃蓋	1	286	260	278
26	周泰	1	289	260	275
27	凌統	1	275	276	278
28	孫策	0	289	260	275
29	孫權	2	275	278	276
30	馬超	0	287	260	277
31	黃忠	2	288	260	276
32	魏延	0	297	250	287
33	關平	1	288	261	275
34	龐統	3	261	280	278
35	董卓	1	299	250	285
36	袁紹	0	275	276	278
37	張角	3	275	278	276
38	甄宓	3	258	271	260
39	小喬	3	255	271	263
40	月英	2	257	271	261
41	孟獲	1	295	252	287
42	蔡文姬	3	255	270	264
43	大喬	3	256	272	261
44	姜維	3	275	278	276
45	賈詡	3	262	280	277
46	司馬師	2	276	276	277
47	司馬昭	2	275	275	279
48	鄧艾	1	278	275	276
49	王元姬	2	258	270	261
50	鍾會	1	278	276	275
51	諸葛誕	3	264	280	275
52	夏侯霸	0	260	286	278
53	郭淮	3	260	281	278
54	丁奉	1	261	286	277
55	劉禪	1	278	275	276
56	星彩	1	257	272	260
57	練師	3	255	270	264
58	馬岱	0	275	277	277
59	祝融	3	258	271	260
60	關索	0	277	277	275
61	鮑三娘	2	258	270	261
62	龐德	1	285	260	279
63	王異	1	255	273	261
64	郭嘉	3	263	281	275
65	徐庶	3	276	276	277
66	左慈	3	275	276	278
67	樂進	1	286	262	276
68	李典	1	260	287	277
69	魯肅	3	262	281	276
70	韓當	2	287	262	275
71	關興	0	276	278	275
72	張苞	0	286	261	277
73	關銀屏	2	255	270	264
74	賈充	2	263	280	276
75	文鴦	2	288	261	275
76	張春華	3	257	272	260
77	于禁	1	262	286	276
78	朱然	1	275	275	279
79	法正	3	262	282	275
80	陳宮	3	262	280	277
81	呂玲綺	0	288	261	275
82	骑兵	0	150	150	200
83	步兵	1	150	150	200
84	弓兵	2	150	150	200
85	谋士	3	150	150	200
